Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0603_1608Metric",158.700000,-87.500000,0.000000,top
"C2","100n","C_0603_1608Metric",168.800000,-110.300000,90.000000,top
"C3","2.2u","C_0805_2012Metric",154.700000,-118.700000,90.000000,top
"C4","2.2u","C_0805_2012Metric",154.700000,-115.000000,-90.000000,top
"J1","Conn_01x03_Pin","JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal",167.100000,-85.950000,180.000000,top
"Q1","UMH3N","SOT-363_SC-70-6",155.800000,-110.700000,0.000000,top
"R1","330","R_0603_1608Metric",158.700000,-89.200000,0.000000,top
"R2","10K","R_0603_1608Metric",158.600000,-110.700000,-90.000000,top
"R3","10K","R_0603_1608Metric",152.700000,-110.700000,90.000000,top
"R4","5K1","R_0603_1608Metric",165.500000,-110.100000,180.000000,top
"R5","5K1","R_0603_1608Metric",162.525000,-110.100000,0.000000,top
"U2","ESP-12F","ESP-12E",156.500000,-99.400000,90.000000,top
"U3","LM1117MP-3.3","SOT-223-3_TabPin2",149.000000,-116.800000,0.000000,top
"U4","CH340C","SOIC-16_3.9x9.9mm_P1.27mm",151.325000,-85.025000,-90.000000,top
"USB1","USB4105-GF-A","USB_C_Receptacle_HRO_TYPE-C-31-M-12",164.100000,-117.400000,0.000000,top
